coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/151326.npy,,success,,borderline,0.5155,0.4069,0.4073,0.2232,0.309,0.434799,0.1104,0.093525,368,297,297,119.27,0.6413,False,,bbox,baseline,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/171875.npy,,success,,good,0.6135,0.4565,0.4678,0.2643,0.3384,0.507261,0.1421,0.113788,327,301,266,84.06,0.5572,False,,bbox,baseline,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/137506.npy,,success,,bad_geometry,0.5218,0.9992,1.0,0.4425,0.1384,0.244219,0.2612,0.017716,256,256,220,0.0,0.5113,True,center_out_of_bounds,bbox,baseline,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/160022.npy,,success,,borderline,0.5368,0.4095,0.4165,0.1965,0.279,0.455551,0.1306,0.07625,295,310,304,66.61,0.6641,False,,bbox,baseline,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/126587.npy,,success,,borderline,0.4597,0.4201,0.4204,0.239,0.3032,0.296624,0.1053,0.090879,348,332,282,119.33,0.5968,False,,bbox,baseline,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/131416.npy,,success,,bad_geometry,0.413,0.3109,0.311,0.2056,0.3274,0.265955,0.0926,0.10685,366,351,348,145.34,0.6369,False,,bbox,baseline,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/144139.npy,,success,,bad_geometry,0.5797,0.9999,1.0,0.5008,0.183,0.336533,0.3098,0.032268,256,256,220,0.0,0.5106,True,center_out_of_bounds,bbox,baseline,False
130596,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/130596.npy,,success,,bad_geometry,0.4701,0.9895,0.9996,0.4124,0.1029,0.152427,0.2716,0.009879,256,256,220,0.0,0.6539,True,center_out_of_bounds,bbox,baseline,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/112709.npy,,success,,good,0.6915,0.5071,0.5266,0.3061,0.3657,0.539316,0.12,0.13204,297,285,283,50.22,0.6714,False,,bbox,baseline,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/160029.npy,,success,,good,0.6354,0.4965,0.503,0.3198,0.3701,0.479157,0.1302,0.136426,349,294,282,100.46,0.6632,False,,bbox,baseline,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/171893.npy,,success,,good,0.6177,0.3729,0.3794,0.2156,0.3307,0.585883,0.1125,0.107032,307,302,289,68.68,0.5684,False,,bbox,baseline,False
135477,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/135477.npy,,success,,bad_geometry,0.5574,0.9964,0.9999,0.4369,0.1253,0.340648,0.2965,0.0154,256,256,220,0.0,0.6537,True,center_out_of_bounds,bbox,baseline,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/139381.npy,,success,,bad_geometry,0.7166,0.9998,1.0,0.6628,0.1977,0.649069,0.2726,0.038426,256,256,220,0.0,0.5107,True,center_out_of_bounds,bbox,baseline,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/146605.npy,,success,,good,0.5673,0.4558,0.4662,0.2186,0.2962,0.441918,0.1425,0.086585,292,301,292,57.63,0.6778,False,,bbox,baseline,False
110548,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/110548.npy,,success,,bad_geometry,0.4612,0.8125,0.817,0.3358,0.1816,0.216332,0.2019,0.029738,256,256,220,0.0,0.3877,True,center_out_of_bounds,bbox,baseline,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/171917.npy,,success,,borderline,0.543,0.4131,0.4137,0.1899,0.2828,0.456145,0.1202,0.078564,302,301,288,64.35,0.6311,False,,bbox,baseline,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/173463.npy,,success,,bad_geometry,0.4566,1.0,1.0,0.9592,0.1269,0.019819,0.0164,0.01477,256,256,220,0.0,0.561,True,center_out_of_bounds,bbox,baseline,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/149545.npy,,success,,bad_geometry,0.4377,0.4391,0.4514,0.1981,0.2725,0.290371,0.0995,0.073482,370,303,299,123.31,0.656,False,,bbox,baseline,False
141156,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/141156.npy,,success,,bad_geometry,0.5781,0.3953,0.4052,0.2535,0.3505,0.520156,0.1102,0.120962,374,304,302,127.39,0.6445,False,,bbox,baseline,False
122082,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/122082.npy,,success,,good,0.5899,0.4656,0.4675,0.3228,0.378,0.338619,0.1587,0.142236,323,295,261,77.52,0.5494,False,,bbox,baseline,False
146606,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/146606.npy,,success,,borderline,0.4946,0.4497,0.462,0.2135,0.2973,0.363284,0.1261,0.087927,367,295,296,117.65,0.693,False,,bbox,baseline,False
108316,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/108316.npy,,success,,good,0.5624,0.4286,0.4288,0.2969,0.3731,0.385019,0.1191,0.13778,368,296,297,118.93,0.6555,False,,bbox,baseline,False
171741,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/171741.npy,,success,,borderline,0.4686,0.427,0.4273,0.2115,0.2864,0.257152,0.1135,0.081309,304,301,283,65.8,0.5959,False,,bbox,baseline,False
122077,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/122077.npy,,success,,borderline,0.4349,0.3311,0.3335,0.1525,0.2606,0.367933,0.1081,0.066993,335,326,311,105.55,0.5937,False,,bbox,baseline,False
192083,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/192083.npy,,success,,bad_geometry,0.4604,0.4583,0.4589,0.333,0.4127,0.079253,0.0253,0.170136,256,256,220,0.0,0.5194,True,center_out_of_bounds,bbox,baseline,False
171923,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/171923.npy,,success,,borderline,0.5383,0.4416,0.4429,0.234,0.3068,0.375918,0.1375,0.092946,302,303,290,65.76,0.6402,False,,bbox,baseline,False
122084,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/122084.npy,,success,,bad_geometry,0.509,0.9994,1.0,0.4198,0.1084,0.233091,0.2905,0.01153,256,256,220,0.0,0.5765,True,center_out_of_bounds,bbox,baseline,False
148374,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/148374.npy,,success,,good,0.639,0.4501,0.4503,0.309,0.3818,0.526246,0.1211,0.145277,369,289,298,117.72,0.6706,False,,bbox,baseline,False
163970,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/163970.npy,,success,,good,0.6619,0.4403,0.4426,0.2836,0.3585,0.570678,0.121,0.125123,292,310,298,64.9,0.6758,False,,bbox,baseline,False
112740,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/112740.npy,,success,,good,0.7468,0.4565,0.4767,0.2889,0.374,0.700341,0.1179,0.138124,295,291,295,52.4,0.6835,False,,bbox,baseline,False
160032,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/160032.npy,,success,,borderline,0.5417,0.4255,0.4361,0.2778,0.3526,0.385518,0.134,0.123526,362,312,292,119.88,0.6501,False,,bbox,baseline,False
137510,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/137510.npy,,success,,bad_geometry,0.7794,0.9998,1.0,0.6499,0.2674,0.8644,0.2432,0.068936,256,256,220,0.0,0.511,True,center_out_of_bounds,bbox,baseline,False
191799,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_002707_baseline/ribbons/191799.npy,,success,,borderline,0.4668,0.5051,0.5054,0.2453,0.2936,0.235809,0.123,0.086067,356,291,291,105.95,0.6821,False,,bbox,baseline,False
